"Link","Name","Pos","Height RAS","Weight RAS","Arm RAS","Hand RAS","Forty RAS","Twenty RAS","Ten RAS","Bench RAS","Vertical RAS","Broad RAS","Shuttle RAS","Cone RAS","RAS"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20957"">Link</a>","Average TE","TE","5.37","5.52",,,"4.95","5.07","5.09","5.82","5.02","4.72","5.54","5.10","4.99"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20958"">Link</a>","Average OT","OT","5.29","5.13",,,"4.87","5.03","5.17","5.82","5.17","4.88","5.07","5.09","4.97"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20959"">Link</a>","Average OG","OG","4.99","5.16",,,"5.07","5.09","5.10","5.70","5.60","4.85","5.34","4.91","5.02"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20960"">Link</a>","Average OC","OC","5.27","4.05",,,"4.95","5.18","5.20","5.76","5.42","5.01","5.02","4.94","4.6"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20961"">Link</a>","Average DE","DE","5.34","5.71",,,"4.62","4.80","4.95","5.85","5.46","4.94","5.38","5.11","4.94"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20962"">Link</a>","Average DT","DT","5.34","5.42",,,"4.77","5.14","5.58","5.70","5.31","5.03","5.51","5.16","5.25"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20963"">Link</a>","Average LB","LB","5.68","5.85",,,"5.01","4.83","5.08","5.58","5.51","5.06","5.27","5.14","5.17"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20964"">Link</a>","Average CB","CB","5.15","5.30",,,"5.25","5.25","5.42","5.35","5.51","5.12","6.02","5.31","5.35"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20965"">Link</a>","Average FS","FS","5.71","5.57",,,"4.90","4.94","5.49","6.03","5.84","5.55","5.85","5.63","5.5"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=20966"">Link</a>","Average SS","SS","5.43","5.57",,,"5.23","5.16","5.31","5.37","5.31","5.10","5.76","5.46","5.32"
